Symbol,Name,Last,Change,%Change,High,Low,Volume,Time
ABNB,"Airbnb Inc Cl A",128.01,-1.06,-0.82%,130.05,127.67,4405855,"16:29 ET"
AMZN,"Amazon.com Inc",229.25,2.28,+1.00%,231.49,226.21,46754895,"16:29 ET"
APTV,"Aptiv Plc",86.64,0.53,+0.62%,87.32,85.28,1538480,2025-10-28
AZO,Autozone,3803,-11.21,-0.29%,3878.37,3785.05,140452,2025-10-28
BBY,"Best Buy Company",83.86,0.98,+1.18%,84.5,81.6,4524829,2025-10-28
BKNG,"Booking Holdings Inc",5120.57,-133.83,-2.55%,5275,5120.57,400612,"16:29 ET"
CCL,"Carnival Corp",27.86,-1.56,-5.30%,28.49,27.78,36126668,2025-10-28
CMG,"Chipotle Mexican Grill",40.26,-0.8,-1.95%,41,40.23,12305104,2025-10-28
DASH,"Doordash Inc Cl A",261.42,-1.93,-0.73%,265.59,259.83,2772750,"16:27 ET"
DECK,"Deckers Outdoor Corp",87.61,-2.86,-3.16%,90.57,86.68,6836231,2025-10-28
DHI,"D.R. Horton",153.75,-5.11,-3.22%,157.99,147,4766421,2025-10-28
DPZ,"Domino's Pizza Inc",410.97,-1.73,-0.42%,414.99,409.95,430546,"16:21 ET"
DRI,"Darden Restaurants",181.33,-2.3,-1.25%,183.49,180.69,773383,2025-10-28
EBAY,"Ebay Inc",99.58,1.57,+1.60%,100.89,98.15,6622785,"16:29 ET"
EXPE,"Expedia Group Inc",225.3,2.8,+1.26%,226.38,219.3,1403478,"16:28 ET"
F,"Ford Motor Company",13.13,-0.13,-0.98%,13.28,13.04,96642625,2025-10-28
GM,"General Motors Company",69.87,0.49,+0.71%,70.19,68.66,12945420,2025-10-28
GPC,"Genuine Parts Company",131.66,0.24,+0.18%,132.97,130.42,871558,2025-10-28
GRMN,"Garmin Ltd",248.09,-3.33,-1.32%,250.62,244.89,1118369,2025-10-28
HAS,"Hasbro Inc",77.94,-0.15,-0.19%,78.29,77.04,1484115,"16:20 ET"
HD,"Home Depot",385.75,0.48,+0.12%,390.01,382.83,2364472,2025-10-28
HLT,"Hilton Inc",260.9,-5.32,-2.00%,266.3,260.43,1690618,2025-10-28
KMX,"Carmax Inc",44.45,-0.63,-1.40%,45,44.16,3391123,2025-10-28
LEN,"Lennar Corp",128.22,-0.5,-0.39%,129.2,124.04,3173619,2025-10-28
LKQ,"LKQ Corp",30.96,-0.52,-1.65%,31.38,30.89,3752509,"16:24 ET"
LOW,"Lowe's Companies",244.07,0.42,+0.17%,246.63,242.09,1611990,2025-10-28
LULU,"Lululemon Athletica",179.98,-1.41,-0.78%,181.52,175.18,3789163,"16:29 ET"
LVS,"Las Vegas Sands",58.2,-1.24,-2.09%,59.54,57.82,4665222,2025-10-28
MAR,"Marriot Int Cl A",265.45,-5.76,-2.12%,271.19,265.32,1085659,"16:28 ET"
MCD,"McDonald's Corp",306.4,-3.6,-1.16%,310.58,306.33,2333162,2025-10-28
MGM,"MGM Resorts International",31.95,-0.96,-2.92%,32.75,31.75,5283581,2025-10-28
MHK,"Mohawk Industries",118.76,-0.43,-0.36%,120.08,117.23,650065,2025-10-28
NCLH,"Norwegian Cruise Ord",22.35,-1.16,-4.93%,22.88,22.17,22717734,2025-10-28
NKE,"Nike Inc",67.43,-1.16,-1.69%,68.61,67.05,11207470,2025-10-28
NVR,"NVR Inc",7461.33,23,+0.31%,7469.02,7275.43,16806,2025-10-28
ORLY,"O'Reilly Automotive",96.3,0.51,+0.53%,97.92,95.62,5792350,"16:29 ET"
PHM,Pultegroup,120.74,0.44,+0.37%,121.9,115.41,2351248,2025-10-28
POOL,"Pool Corp",286.95,-6.61,-2.25%,293.27,286.52,497618,"16:24 ET"
RCL,"Royal Caribbean Cruises Ltd",292.95,-27.31,-8.53%,298.8,287.02,8586456,2025-10-28
RL,"Ralph Lauren Corp",331.2,-6.37,-1.89%,337.3,331.1,434911,2025-10-28
ROST,"Ross Stores Inc",160.7,-0.03,-0.02%,161.31,158.65,1534067,"16:29 ET"
SBUX,"Starbucks Corp",85.43,-1.79,-2.05%,87.54,85.31,11496538,"16:29 ET"
TJX,"TJX Companies",144.03,0.76,+0.53%,144.05,142.27,3627060,2025-10-28
TPR,"Tapestry Inc",113.11,-1.86,-1.62%,115.09,112.65,2339660,2025-10-28
TSCO,"Tractor Supply Company",55.49,-0.88,-1.56%,56.17,55.34,4036066,"16:24 ET"
TSLA,"Tesla Inc",460.55,8.13,+1.80%,467,451.6,79662320,"16:29 ET"
ULTA,"Ulta Beauty Inc",518.79,-4.03,-0.77%,523.7,516.59,386764,"16:25 ET"
WSM,Williams-Sonoma,199.63,6.77,+3.51%,203.78,194.74,1126633,2025-10-28
WYNN,"Wynn Resorts Ltd",120.85,-4.59,-3.66%,124.98,120.65,1463664,"16:29 ET"
YUM,"Yum! Brands",141.09,-1.89,-1.32%,143.18,141.05,1451262,2025-10-28
"Downloaded from Barchart.com as of 10-28-2025 04:45pm CDT"
